SKU,UPC,Margin Profit,"IMPORT
Price",DSP,Cost,RSP,"Set
Margin","Fresco
Earning","Fresco
Margin","Purchase
Price","Suggested
Retail Price","Retail
Margin"
DUX-PC-BRIL-ZFlip7-BLU,,69%,20.0,28.1,13.1,43.0,70%,9,41%,22,52,57%
DUX-PC-BRIL-ZFlip7-PNK,,69%,20.0,28.1,13.1,43.0,70%,9,41%,22,52,57%
DUX-PC-BRIL-ZFold7-BLK,,65%,23.0,29.0,15.0,43.0,70%,11,41%,26,52,51%
DUX-PC-BRIL-ZFold7-BLU,,65%,23.0,29.0,15.0,43.0,70%,11,41%,26,52,51%
DUX-PC-BRIL-ZFold7-PNK,,65%,23.0,29.0,15.0,43.0,70%,11,41%,26,52,51%
DUX-PC-PEN(BRL)-ZFold7-BLK,,63%,29.0,34.4,18.8,50.0,70%,13,41%,32,60,47%
DUX-PC-PEN(BRL)-ZFold7-BLU,,63%,29.0,34.4,18.8,50.0,70%,13,41%,32,60,47%
DUX-PC-AIMO-ZFlip7-BLK,,65%,16.0,20.3,10.6,30.0,55%,6,35%,16,36,54%
DUX-PC-AIMO-ZFold7-BLK,,64%,19.0,23.8,12.5,35.0,55%,7,35%,19,42,54%
DUX-PC-AIMO(MS)-ZFlip7-BLK,,55%,28.0,29.1,18.1,40.0,55%,10,35%,28,48,41%
DUX-PC-AIMO(MS)-ZFold7-BLK,,63%,26.0,30.9,16.9,45.0,55%,9,35%,26,54,52%
7TREE-PC-JJ-MagicV3-BLK,,60%,42.0,49.5,26.9,68.0,60%,16,38%,43,82,47%
7TREE-PC-JJ-MagicV3-RED,,60%,42.0,49.5,26.9,68.0,60%,16,38%,43,82,47%
7TREE-PC-JJ-MagicV3-GRN,,60%,42.0,49.5,26.9,68.0,60%,16,38%,43,82,47%
7TREE-PC-JJ-MagicV5-BLK,,60%,42.0,49.5,26.9,68.0,60%,16,38%,43,82,47%
7TREE-PC-JJ-MagicV5-RED,,60%,42.0,49.5,26.9,68.0,60%,16,38%,43,82,47%
7TREE-PC-JJ-MagicV5-GLD,,60%,42.0,49.5,26.9,68.0,60%,16,38%,43,82,47%
7TREE-PC-XF-MagicV3-BLK,,62%,40.0,48.9,25.6,68.0,60%,15,38%,41,82,50%
7TREE-PC-XF-MagicV3-RED,,62%,40.0,48.9,25.6,68.0,60%,15,38%,41,82,50%
7TREE-PC-XF-MagicV3-GRN,,62%,40.0,48.9,25.6,68.0,60%,15,38%,41,82,50%
7TREE-PC-XF-MagicV5-BLK,,62%,40.0,48.9,25.6,68.0,60%,15,38%,41,82,50%
7TREE-PC-XF-MagicV5-RED,,62%,40.0,48.9,25.6,68.0,60%,15,38%,41,82,50%
7TREE-PC-XF-MagicV5-GLD,,62%,40.0,48.9,25.6,68.0,60%,15,38%,41,82,50%
7TREE-PC-JJ-ZFold7-BLK,,60%,42.0,49.5,26.9,68.0,60%,16,38%,43,82,47%
7TREE-PC-JJ-ZFold7-RED,,60%,42.0,49.5,26.9,68.0,60%,16,38%,43,82,47%
7TREE-PC-JJ-ZFold7-GRN,,60%,42.0,49.5,26.9,68.0,60%,16,38%,43,82,47%
7TREE-PC-JJ-ZFlip7-BLK,,63%,39.0,48.7,25.0,68.0,60%,15,38%,40,82,51%
7TREE-PC-JJ-ZFlip7-BLU,,63%,39.0,48.7,25.0,68.0,60%,15,38%,40,82,51%
7TREE-PC-JJ-ZFlip7-GRN,,63%,39.0,48.7,25.0,68.0,60%,15,38%,40,82,51%
7TREE-PC-JJ-ZFlip7-RED,,63%,39.0,48.7,25.0,68.0,60%,15,38%,40,82,51%
GKK-PC-YT-ZFold7-TP,,58%,19.0,21.3,12.5,30.0,60%,8,38%,20,36,44%
GKK-PC-YT-ZFold7-BLK,,58%,19.0,21.3,12.5,30.0,60%,8,38%,20,36,44%
GKK-PC-YT(MS)-ZFold7-TP,,59%,24.0,26.8,15.6,38.0,60%,9,38%,25,46,45%
GKK-PC-YT(MS)-ZFold7-BLK,,59%,24.0,26.8,15.6,38.0,60%,9,38%,25,46,45%
GKK-PC-YT(RING)-ZFold7-TP,,58%,29.0,31.9,18.8,45.0,60%,11,38%,30,54,44%
GKK-PC-YT(RING)-ZFold7-BLK,,58%,29.0,31.9,18.8,45.0,60%,11,38%,30,54,44%
BNKS-ACE-L43Pro-Pro11(M4)-SPG,,57%,258.0,293.0,162.5,380.0,60%,98,38%,260,456,43%
BNKS-ACE-L43Pro-Pro13(M4)-SPG,,58%,268.0,307.5,168.8,400.0,60%,101,38%,270,480,44%
DUX-PC-FLIP-iP17-BLK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-iP17-BLU,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-iP17-PNK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-iP17Air-BLK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-iP17Air-BLU,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-iP17Air-PNK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-iP17Pro-BLK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-iP17Pro-BLU,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-iP17Pro-PNK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-iP17ProMax-BLK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-iP17ProMax-BLU,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-iP17ProMax-PNK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-HIVO-iP17-BLK,,60%,37.0,43.7,23.8,60.0,60%,14,38%,38,72,47%
DUX-PC-HIVO-iP17-BRW,,60%,37.0,43.7,23.8,60.0,60%,14,38%,38,72,47%
DUX-PC-HIVO-iP17-RED,,60%,37.0,43.7,23.8,60.0,60%,14,38%,38,72,47%
DUX-PC-HIVO-iP17Air-BLK,,60%,37.0,43.7,23.8,60.0,60%,14,38%,38,72,47%
DUX-PC-HIVO-iP17Air-BRW,,60%,37.0,43.7,23.8,60.0,60%,14,38%,38,72,47%
DUX-PC-HIVO-iP17Air-RED,,60%,37.0,43.7,23.8,60.0,60%,14,38%,38,72,47%
DUX-PC-HIVO-iP17Pro-BLK,,60%,37.0,43.7,23.8,60.0,60%,14,38%,38,72,47%
DUX-PC-HIVO-iP17Pro-BRW,,60%,37.0,43.7,23.8,60.0,60%,14,38%,38,72,47%
DUX-PC-HIVO-iP17Pro-RED,,60%,37.0,43.7,23.8,60.0,60%,14,38%,38,72,47%
DUX-PC-HIVO-iP17ProMax-BLK,,60%,37.0,43.7,23.8,60.0,60%,14,38%,38,72,47%
DUX-PC-HIVO-iP17ProMax-BRW,,60%,37.0,43.7,23.8,60.0,60%,14,38%,38,72,47%
DUX-PC-HIVO-iP17ProMax-RED,,60%,37.0,43.7,23.8,60.0,60%,14,38%,38,72,47%
DUX-SP-ROGA-iP17-CLR,,68%,12.0,16.6,8.1,25.0,90%,7,47%,15,30,49%
DUX-SP-ROGA-iP17Air-CLR,,68%,12.0,16.6,8.1,25.0,90%,7,47%,15,30,49%
DUX-SP-ROGA-iP17Pro-CLR,,68%,12.0,16.6,8.1,25.0,90%,7,47%,15,30,49%
DUX-SP-ROGA-iP17ProMax-CLR,,68%,12.0,16.6,8.1,25.0,90%,7,47%,15,30,49%
DUX-CL-HAWK-iP17-BLK,,63%,8.0,10.3,5.6,15.0,80%,5,44%,10,18,44%
DUX-CL-HAWK-iP17-SLV,,63%,8.0,10.3,5.6,15.0,80%,5,44%,10,18,44%
DUX-CL-HAWK-iP17-DT,,63%,8.0,10.3,5.6,15.0,80%,5,44%,10,18,44%
DUX-CL-HAWK-iP17-NT,,63%,8.0,10.3,5.6,15.0,80%,5,44%,10,18,44%
DUX-CL-HAWK-iP17Air-BLK,,63%,8.0,10.3,5.6,15.0,80%,5,44%,10,18,44%
DUX-CL-HAWK-iP17Air-SLV,,63%,8.0,10.3,5.6,15.0,80%,5,44%,10,18,44%
DUX-CL-HAWK-iP17Air-DT,,63%,8.0,10.3,5.6,15.0,80%,5,44%,10,18,44%
DUX-CL-HAWK-iP17Air-NT,,63%,8.0,10.3,5.6,15.0,80%,5,44%,10,18,44%
DUX-CL-HAWK-iP17Pro/Max-BLK,,63%,8.0,10.3,5.6,15.0,80%,5,44%,10,18,44%
DUX-CL-HAWK-iP17Pro/Max-SLV,,63%,8.0,10.3,5.6,15.0,80%,5,44%,10,18,44%
DUX-CL-HAWK-iP17Pro/Max-DT,,63%,8.0,10.3,5.6,15.0,80%,5,44%,10,18,44%
DUX-CL-HAWK-iP17Pro/Max-NT,,63%,8.0,10.3,5.6,15.0,80%,5,44%,10,18,44%
DUX-PC-FLIP-Reno14-BLK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-Reno14-BLU,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-Reno14Pro-BLK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-Reno14Pro-BLU,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-Reno14F-BLK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-Reno14F-BLU,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-AIMO-Reno14-BLK,,75%,9.0,15.6,6.3,25.0,70%,4,41%,11,30,65%
DUX-PC-AIMO-Reno14Pro-BLK,,75%,9.0,15.6,6.3,25.0,70%,4,41%,11,30,65%
DUX-PC-AIMO-Reno14F-BLK,,75%,9.0,15.6,6.3,25.0,70%,4,41%,11,30,65%
DUX-PC-AIMO-NoPhone3-BLK,,75%,9.0,15.6,6.3,25.0,70%,4,41%,11,30,65%
DUX-STP-YE-AW41-BLK,,71%,13.0,19.4,8.8,30.0,100%,9,50%,18,36,51%
DUX-STP-YE-AW41-PRP,,71%,13.0,19.4,8.8,30.0,100%,9,50%,18,36,51%
DUX-STP-YE-AW41-STA,,71%,13.0,19.4,8.8,30.0,100%,9,50%,18,36,51%
DUX-STP-YE-AW41-GRN,,71%,13.0,19.4,8.8,30.0,100%,9,50%,18,36,51%
DUX-STP-YE-AW46-BLK,,71%,13.0,19.4,8.8,30.0,100%,9,50%,18,36,51%
DUX-STP-YE-AW46-PRP,,71%,13.0,19.4,8.8,30.0,100%,9,50%,18,36,51%
DUX-STP-YE-AW46-STA,,71%,13.0,19.4,8.8,30.0,100%,9,50%,18,36,51%
DUX-STP-YE-AW46-GRN,,71%,13.0,19.4,8.8,30.0,100%,9,50%,18,36,51%
DUX-STP-YE-SW8-BLK,,71%,13.0,19.4,8.8,30.0,100%,9,50%,18,36,51%
DUX-STP-YE-SW8-PRP,,71%,13.0,19.4,8.8,30.0,100%,9,50%,18,36,51%
DUX-STP-YE-SW8-STA,,71%,13.0,19.4,8.8,30.0,100%,9,50%,18,36,51%
DUX-STP-YE-SW8-GRN,,71%,13.0,19.4,8.8,30.0,100%,9,50%,18,36,51%
DUX-STP-YE-WFIT-BLK,,73%,12.0,19.1,8.1,30.0,100%,8,50%,16,36,55%
DUX-STP-YE-WFIT-PRP,,73%,12.0,19.1,8.1,30.0,100%,8,50%,16,36,55%
DUX-STP-YE-WFIT-STA,,73%,12.0,19.1,8.1,30.0,100%,8,50%,16,36,55%
DUX-STP-YE-WFIT-GRN,,73%,12.0,19.1,8.1,30.0,100%,8,50%,16,36,55%
DUX-AAC-PECR-APP2-GRY,,63%,17.0,20.6,11.3,30.0,60%,7,38%,18,36,50%
